"sampno","beta","tshift","desired_mode","viral_peak","obs_sd","true_0","intercept","LOD","limit_quantification","incu","t_switch","level_switch","wane_rate2","prob_detect","t_unit","lnlike"
1,0.396612313482741,2,2,7.4414888828312,5.50363964304951,-3,40,3,2,5,17.013028644548,3.99053756432238,28.9830526444026,0.000356762377715814,1,-89.6095384851654
11,0.396612313482741,2,2,7.4414888828312,5.50363964304951,-3,40,3,2,5,17.013028644548,3.99053756432238,28.9830526444026,0.000356762377715814,1,-89.6095384851654
21,0.306780654313948,2,2,7.43184961941757,6.32369478987463,-3,40,3,2,5,15.9502915751661,4.17124171941197,31.6113012449647,0.107768365447595,1,-91.8342886863778
31,0.387754539554276,2,2,6.81336855931024,7.16266161445853,-3,40,3,2,5,16.3292756329687,3.83454950173889,25.3376708768188,0.126597025651828,1,-92.0099286341408
41,0.415233654092594,2,2,6.5333787494414,6.75768999679796,-3,40,3,2,5,12.6274946289198,4.01320697512979,32.5134200547401,0.163929240034384,1,-93.0242550815964
51,0.392404536116347,2,2,6.74125864390545,7.12761576852552,-3,40,3,2,5,11.7140641553294,4.65688121328944,31.5582582710886,0.262769772040808,1,-95.6250666601756
61,0.157408726616028,2,2,8.02114626574964,5.45836989013333,-3,40,3,2,5,15.563714527336,4.75456041708878,31.6762380224655,0.306355634619636,1,-96.0329696032387
71,0.25496641997345,2,2,6.45536564411731,6.01977267568269,-3,40,3,2,5,18.2894906973514,4.41264949473425,28.8152155942333,0.417198571544464,1,-96.7774450323525
81,0.26977750031121,2,2,6.89706201288724,5.69367350237486,-3,40,3,2,5,17.6447282053099,4.90548634345869,27.3229519242853,0.353142320099067,1,-97.0365893938872
91,-0.0506640871710166,2,2,8.6169957043959,5.51546522583858,-3,40,3,2,5,11.8500875767815,4.17896815427535,30.8411759653233,0.361027566871359,1,-95.4019154555384
101,0.163765089576836,2,2,8.32764908192723,5.21659964210078,-3,40,3,2,5,12.9698373091116,3.01312495649116,26.7962358354038,0.22319754703973,1,-93.9238543561537
111,0.226386376723323,2,2,6.74641047011766,5.95817720407872,-3,40,3,2,5,14.915511829925,4.44116509583259,31.4495164145316,0.232646509374489,1,-94.1789579602291
121,0.117363753436754,2,2,6.45559518420755,8.86689280251914,-3,40,3,2,5,15.6804769528201,4.62165986056363,35.215390913282,0.239945013362841,1,-95.9490109515094
131,0.109327639050476,2,2,8.00363604797432,5.06295727356391,-3,40,3,2,5,13.4544906160096,4.66507282233299,35.3793530521389,0.0888183178257868,1,-93.9453482351125
141,0.185113566409912,2,2,6.60526522785998,7.40416118205016,-3,40,3,2,5,9.41952356518231,4.05816676893773,40.7021872553743,0.00679743023218553,1,-95.817011023711
151,0.292007742625922,2,2,7.20876577392001,7.77245122152203,-3,40,3,2,5,8.06911778532193,3.73930340692624,39.0086536703854,0.0031504159988712,1,-95.5469996218231
161,0.292007742625922,2,2,7.20876577392001,7.77245122152203,-3,40,3,2,5,8.06911778532193,3.73930340692624,39.0086536703854,0.0031504159988712,1,-95.5469996218231
171,0.242365353414494,2,2,6.90464395362153,6.30377656097177,-3,40,3,2,5,12.080945849553,3.60782106821195,43.5208483746158,0.00622587895594423,1,-94.7264834598328
181,-0.045472939853128,2,2,8.47546015418093,7.06250039351412,-3,40,3,2,5,15.1798993835442,3.60356263615902,37.181407497741,0.212238368630052,1,-94.2405898783081
191,-0.0699983528251857,2,2,8.57920538013893,4.81215734133997,-3,40,3,2,5,12.5065111445425,3.7983616162219,29.2459976762883,0.105006936374131,1,-96.8661729011621
201,0.213248224728033,2,2,7.04514800692363,5.9768144892592,-3,40,3,2,5,12.2119382966371,4.00868799512676,29.2294669628387,0.0111478359572781,1,-91.2950417747069
211,0.357608976737622,2,2,7.67306683778659,4.62046281695916,-3,40,3,2,5,15.3085510501242,3.96241074634034,40.5012916268604,0.124171422598928,1,-94.2024400583988
221,0.254485889280466,2,2,7.63626881650777,3.8250356772382,-3,40,3,2,5,16.6676442606849,3.72155799922072,33.9547020509322,0.177049886716386,1,-94.0708769277588
231,0.110795901842882,2,2,7.79741642984627,4.98230618579783,-3,40,3,2,5,18.5115760629889,3.78629917301925,40.6327876175873,0.303560834755021,1,-95.7054194172886
241,0.00286578794445762,2,2,7.80369863505899,6.98232789515268,-3,40,3,2,5,17.4026787480534,4.06453415823482,43.9221454898051,0.138599826551391,1,-96.2230227139337
251,0.255834559069011,2,2,7.96185824969443,7.33090353685563,-3,40,3,2,5,18.5118081352659,3.28350436200767,42.1820936079697,0.0880331591928233,1,-96.4527552582478
261,0.138273067865581,2,2,8.01125556396629,6.01895969621838,-3,40,3,2,5,18.6176343858875,2.28679407487009,22.2302606936702,0.0239709475632,1,-95.826670712867
271,0.284324246400762,2,2,7.4793701583075,6.02425408897277,-3,40,3,2,5,18.4197773700636,3.78275103740515,35.6574802970799,0.0953700325851421,1,-92.1678659054549
281,0.11536465728973,2,2,8.71242099924561,6.14236491543934,-3,40,3,2,5,21.5296647220989,3.73903124274694,21.4415664290884,0.00195017078945592,1,-94.8850011106872
291,0.002104310389835,2,2,7.70196484795769,4.2181722320827,-3,40,3,2,5,19.8916750049367,3.75418793361608,23.32705988239,0.00634119096210493,1,-95.2088511178484
301,8.08422970497704e-05,2,2,8.34031619959066,3.82050721355223,-3,40,3,2,5,20.8782807630463,3.36231054749653,25.3568893937816,0.0151916069150451,1,-93.4224716221914
311,0.0970003292970092,2,2,7.68657926886043,4.83014178069019,-3,40,3,2,5,20.9352257450013,3.06452089370692,24.6175975608668,0.010885723968527,1,-92.8861790368749
321,0.424980868509914,2,2,6.09509136373266,7.10296281015905,-3,40,3,2,5,21.238923513917,4.01893478020289,22.4241376661115,0.0182153408804311,1,-94.1667425031274
331,0.293875582561504,2,2,7.10895862554109,4.8805248419193,-3,40,3,2,5,23.7012477305443,3.13273750239165,28.8779481380804,0.0357901941901143,1,-95.5126291409888
341,0.293875582561504,2,2,7.10895862554109,4.8805248419193,-3,40,3,2,5,23.7012477305443,3.13273750239165,28.8779481380804,0.0357901941901143,1,-95.5126291409888
351,0.181888544397702,2,2,6.69817566919439,5.72363983762272,-3,40,3,2,5,20.8680037711682,3.22780039245615,25.4434749052458,0.0831113195437584,1,-94.6563956025983
361,0.137667953063832,2,2,8.00733413236821,5.64331573522234,-3,40,3,2,5,18.6956300457294,2.84832703055311,20.8148473604803,0.0033801202862337,1,-93.2258520905491
371,0.137667953063832,2,2,8.00733413236821,5.64331573522234,-3,40,3,2,5,18.6956300457294,2.84832703055311,20.8148473604803,0.0033801202862337,1,-93.2258520905491
381,0.137667953063832,2,2,8.00733413236821,5.64331573522234,-3,40,3,2,5,18.6956300457294,2.84832703055311,20.8148473604803,0.0033801202862337,1,-93.2258520905491
